date,description,amount,type
2026-03-13,SQ *BLUE BOTTLE COFFEE,-24.44,debit
2026-03-13,AMZN Mktp US*R911T71,-211.99,debit
2026-03-14,COSTCO WHSE #0681,-106.57,debit
2026-03-14,GOOGLE *GSUITE_stubworks,-6.0,debit
2026-03-14,COMCAST CALIFORNIA CS 1X,-79.99,debit
2026-03-15,76 - UNITED PACIF 0441,-41.04,debit
2026-03-17,UBER   8005928996 CA       EDI PYMNTS,485.79,credit
2026-03-17,INSTACART        DES:PAYMENT,100.59,credit
2026-03-18,STRIPE TRANSFER  ST-K32320,650.85,credit
2026-03-18,CVS/PHARMACY #04023,-108.91,debit
2026-03-20,UPWORK -ESCROW   745213XX,1136.79,credit
2026-03-20,76 - UNITED PACIF 0441,-39.7,debit
2026-03-20,AUTOZONE #4411,-101.02,debit
2026-03-22,OREILLY AUTO 00284,-34.02,debit
2026-03-23,H MART  SAN JOSE,-62.44,debit
2026-03-23,MCDONALD'S F13344,-17.58,debit
2026-03-24,UBER   8005928996 CA       EDI PYMNTS,471.45,credit
2026-03-25,DOORDASH, INC.   DIRECT DEP,368.1,credit
2026-03-25,SHELL OIL 574429910 02,-47.98,debit
2026-03-26,ZELLE FROM MICHAEL R CONF# T964134,272.67,credit
2026-03-26,TRADER JOE S #552,-125.75,debit
2026-03-27,TRADER JOE S #552,-82.46,debit
2026-03-30,LYFT INC         PAYMENTS,94.68,credit
2026-03-30,COSTCO GAS #0681,-32.21,debit
2026-03-30,COSTCO WHSE #0681,-80.71,debit
2026-03-31,UBER   8005928996 CA       EDI PYMNTS,317.61,credit
2026-04-01,DOORDASH, INC.   DIRECT DEP,190.27,credit
2026-04-01,CHEVRON 0090123 SAN JOS,-59.64,debit
2026-04-01,PLANET FIT CLUB FEES,-91.6,debit
2026-04-01,PROPERTY MGMT ACH RENT,-1850.0,debit
2026-04-01,VZWRLSS*APOCC VISB,-89.99,debit
2026-04-03,UPWORK -ESCROW   745213XX,773.36,credit
2026-04-04,TRADER JOE S #552,-92.98,debit
2026-04-05,CHEVRON 0090123 SAN JOS,-44.6,debit
2026-04-05,H MART  SAN JOSE,-22.84,debit
2026-04-05,GEICO  *AUTO     PYMT,-168.4,debit
2026-04-05,NETFLIX.COM      NETFLIX.COM,-15.49,debit
2026-04-06,SAFEWAY #1492 FUEL PTS,-106.82,debit
2026-04-06,STARBUCKS 800-782-7282,-22.5,debit
2026-04-07,UBER   8005928996 CA       EDI PYMNTS,491.25,credit
2026-04-07,CHEVRON 0090123 SAN JOS,-55.58,debit
2026-04-07,COSTCO WHSE #0681,-132.5,debit
2026-04-07,CHIPOTLE 1184,-27.52,debit
2026-04-08,DOORDASH, INC.   DIRECT DEP,360.7,credit
2026-04-08,OREILLY AUTO 00284,-33.13,debit
2026-04-09,SAFEWAY #1492 FUEL PTS,-129.84,debit
2026-04-09,SPOTIFY USA      8777781161,-11.99,debit
2026-04-09,ADOBE  *CREATIVE CLD,-22.99,debit
2026-04-10,EXXONMOBIL    97441123,-39.06,debit
2026-04-10,SAFEWAY #1492 FUEL PTS,-113.34,debit
2026-04-10,TST* PHO HA NOI,-29.46,debit
2026-04-10,AMZN Mktp US*R732T95,-67.85,debit
2026-04-11,COSTCO WHSE #0681,-93.11,debit
2026-04-12,H MART  SAN JOSE,-28.9,debit
2026-04-12,STARBUCKS 800-782-7282,-27.44,debit
2026-04-13,SHELL OIL 574429910 02,-61.13,debit
2026-04-14,UBER   8005928996 CA       EDI PYMNTS,375.16,credit
2026-04-14,INSTACART        DES:PAYMENT,138.59,credit
2026-04-14,TARGET 00021212,-82.95,debit
2026-04-14,GOOGLE *GSUITE_stubworks,-6.0,debit
2026-04-14,COMCAST CALIFORNIA CS 1X,-79.99,debit
2026-04-15,DOORDASH, INC.   DIRECT DEP,394.83,credit
2026-04-15,AUTOZONE #4411,-95.32,debit
2026-04-16,TRADER JOE S #552,-57.88,debit
2026-04-16,DISCOUNT TIRE CO TXS,-110.19,debit
2026-04-17,UPWORK -ESCROW   745213XX,1125.0,credit
2026-04-17,TRADER JOE S #552,-25.6,debit
2026-04-18,STRIPE TRANSFER  ST-K65435,585.2,credit
2026-04-19,76 - UNITED PACIF 0441,-32.36,debit
2026-04-19,IN-N-OUT BURGER 0212,-27.84,debit
2026-04-20,SAFEWAY #1492 FUEL PTS,-131.74,debit
2026-04-21,UBER   8005928996 CA       EDI PYMNTS,606.17,credit
2026-04-21,DISCOUNT TIRE CO TXS,-115.07,debit
2026-04-22,DOORDASH, INC.   DIRECT DEP,395.36,credit
2026-04-22,EXXONMOBIL    97441123,-41.34,debit
2026-04-22,BEST BUY 00123 SAN JOSE,-12.24,debit
2026-04-23,ZELLE FROM THE PERKINS CONF# T604288,285.26,credit
2026-04-23,SHELL OIL 574429910 02,-34.99,debit
2026-04-25,76 - UNITED PACIF 0441,-35.0,debit
2026-04-26,OREILLY AUTO 00284,-126.03,debit
2026-04-27,LYFT INC         PAYMENTS,203.73,credit
2026-04-28,UBER   8005928996 CA       EDI PYMNTS,384.25,credit
2026-04-28,76 - UNITED PACIF 0441,-35.05,debit
2026-04-29,DOORDASH, INC.   DIRECT DEP,398.24,credit
2026-04-29,CHEVRON 0090123 SAN JOS,-34.74,debit
2026-04-29,TST* PHO HA NOI,-6.65,debit
2026-04-30,CHEVRON 0090123 SAN JOS,-46.63,debit
2026-05-01,UPWORK -ESCROW   745213XX,580.08,credit
2026-05-01,TARGET 00021212,-69.73,debit
2026-05-01,PROPERTY MGMT ACH RENT,-1850.0,debit
2026-05-01,VZWRLSS*APOCC VISB,-89.99,debit
2026-05-02,EXXONMOBIL    97441123,-45.55,debit
2026-05-02,COSTCO WHSE #0681,-89.31,debit
2026-05-03,INSTACART        DES:PAYMENT,150.34,credit
2026-05-04,LYFT INC         PAYMENTS,119.55,credit
2026-05-04,H MART  SAN JOSE,-131.7,debit
2026-05-05,UBER   8005928996 CA       EDI PYMNTS,577.3,credit
2026-05-05,GEICO  *AUTO     PYMT,-168.4,debit
2026-05-05,NETFLIX.COM      NETFLIX.COM,-15.49,debit
2026-05-06,DOORDASH, INC.   DIRECT DEP,238.09,credit
2026-05-07,EXXONMOBIL    97441123,-43.07,debit
2026-05-07,H MART  SAN JOSE,-101.38,debit
2026-05-07,TARGET 00021212,-195.42,debit
2026-05-08,76 - UNITED PACIF 0441,-60.78,debit
2026-05-09,CHEVRON 0090123 SAN JOS,-36.31,debit
2026-05-09,SPOTIFY USA      8777781161,-11.99,debit
2026-05-09,ADOBE  *CREATIVE CLD,-22.99,debit
2026-05-11,LYFT INC         PAYMENTS,113.72,credit
2026-05-12,UBER   8005928996 CA       EDI PYMNTS,323.85,credit
2026-05-13,DOORDASH, INC.   DIRECT DEP,309.22,credit
2026-05-13,SAFEWAY #1492 FUEL PTS,-109.94,debit
2026-05-13,STARBUCKS 800-782-7282,-13.52,debit
2026-05-13,VENMO PAYMENT,-54.16,debit
2026-05-14,76 - UNITED PACIF 0441,-41.69,debit
2026-05-14,PLANET FIT CLUB FEES,-112.22,debit
2026-05-14,GOOGLE *GSUITE_stubworks,-6.0,debit
2026-05-14,COMCAST CALIFORNIA CS 1X,-79.99,debit
2026-05-15,UPWORK -ESCROW   745213XX,600.55,credit
2026-05-15,OREILLY AUTO 00284,-193.04,debit
2026-05-16,H MART  SAN JOSE,-103.62,debit
2026-05-17,COSTCO WHSE #0681,-85.96,debit
2026-05-17,CHIPOTLE 1184,-17.11,debit
2026-05-18,STRIPE TRANSFER  ST-K90004,543.92,credit
2026-05-18,TRADER JOE S #552,-139.22,debit
2026-05-19,UBER   8005928996 CA       EDI PYMNTS,370.91,credit
2026-05-19,SAFEWAY #1492 FUEL PTS,-54.83,debit
2026-05-19,TST* PHO HA NOI,-13.32,debit
2026-05-20,DOORDASH, INC.   DIRECT DEP,200.7,credit
